Event,Group,Date (AD Year),SCA Year,Location,Address,City,Zip Code,Autocrat,Toilets,Potable Water,Showers,Camping Availability (Sq Ft),Feast Hall,Equestrian,Archery Allowed,War Field,12th Night,Site Contact,Parking Issues,Site Costs,Attendance,Site Issues,Other Information
Court of Love,Canton of Borderwinds,2/15/1986,20,Suey Park Clubhouse,N Suey and E Donovan,Santa Maria,93454,,,,,,,,,,,,,,,,
Mini-Dance Revel,Barony of the Westermark,2/18/1986,20,Bret Harte School,"1047 E St, Hayward",Hayward,94541,,,,,,,,,,,,,,,,
Collegium,Barony of Eskalya,3/1/1986,20,,,,,,,,,,,,,,,,,,,,
Not Quite Spring Banquet,Shire of Vakkerfjell,3/15/1986,20,Sutter Youth Center,7740 Butte House Road,Sutter,95982,Mirriam Francois,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/22/1986,20,Sonoma County Fairgrounds,1350 Bennett Valley Road,Santa Rosa,95404,Aricia Kristen Deveraux,,,,,,,,,,,,,,,
Mists Spring Banquet,Principality of the Mists,4/5/1986,20,Berkeley Veteran's Hall,1931 Center St. ,Berkeley,94704,Katherine of Bristol,,,,,,,,,,,,,,,
Far West Fair,Palantine Barony of the Far West,4/5/1986,20,Recreation Center at Torii Station,,Okinawa,,Ealachs Faol,,,,,,,,,,,,,,,
Fool's Tourney,Canton of Borderwinds,4/5/1986,20,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Karen of the Emerald Sea,,,,,,,,,,,,,,,
St. Kate's Quest,College of Saint Katherine's,4/6/1986,20,,,Berkeley,,Gbrielle of Greenwood,,,,,,,,,,,,,,,
Mists Coronet,Principality of the Mists,4/12/1986,20,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Oriana Dreamweaver,,,,,,,,,,,,,,,
Newcomers Tourney,Province of Southern Shores,4/19/1986,20,John D. Morgan Park,349 Budd Ave,Campbell,95008,Ruth Delorient,,,,,,,,,,,,,,,
Dance Collegium,Province of Golden Rivers,4/19/1986,20,Re-ed West Center for Children,1150 Eastern Ave,Sacramento,95864,Lachlin nic Colin,,,,,,,,,,,,,,,
Celebrate with St. Kate's (Twenty Year Celebration),College of Saint Katherine's,5/3/1986,20,U.C. Berkeley- North Field,Eshleman Road,Berkeley,94720,Kristopher Kelson,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,5/10/1986,21,Placer County Fairgrounds,800 All America City Blvd,Roseville,95678,,,,,,,,,,,,,,,,
Earyngyld Beltane,Shire of Earngyld,5/17/1986,21,Sandy Beach,504 Saint Anns Avenue,Douglas,99824,Hamadryad,,,,,,,,,,,,,,,
Archery Muster,Province of Golden Rivers,5/17/1986,21,Davies Ranch,,Folsom,,Ian James of Silverlake,,,,,,,,,,,,,,,
Mists Investiture,Principality of the Mists,5/17/1986,21,Yountville Community Hall,9515 Yount Street,Yountville,94599,Wendolyn y Breuddmywr,,,,,,,,,,,,,,,
Coronet,Principality of Cynagua,5/24/1986,21,Feather River College,570 Golden Eagle Avenue,Quincy,95971,Corwyn of Sablewood,,,,,,,,,,,,,,,
De Anza Prize Tourney,Province of Southern Shores,6/1/1986,21,De Anza College,21250 Stevens Creek Blvd,Cupertino,95014,John Claymore,,,,,,,,,,,,,,,
Archery Tourney,Shire of Cloondara,6/7/1986,21,Golden Gate Park - Archery Field,998 47th Ave,San Francisco,94121,Asclin Thorne,,,,,,,,,,,,,,,
Championship Tourney,Barony of Vinhold,6/7/1986,21,Vintage Hall,1401 Grayson Avenue,St. Helena,94574,Scott of Kent,,,,,,,,,,,,,,,
June Crown,Kingdom of the West,6/14/1986,21,Nevada County Fairgrounds,11228 McCourtney Road,Grass Valley,95949,Gleda Eiriksdottir,,,,,,,,,,,,,,,
St. John's Eve,Shire of Earngyld,6/21/1986,21,McPhetres Hall,Fourth And Gold,Juneau,99801,Eliana Genvieve Andance,,,,,,,,,,,,,,,
Montfort Games,Barony of Winter's Gate,6/21/1986,21,Chena Lake Recreation Area,3780 Laurance Road,North Pole,99705,Morgana n'ka Keridwen,,,,,,,,,,,,,,,
Fencing Tourney,Province of Golden Rivers,6/21/1986,21,Camp Pollock B.S.A.,467 Del Paso Boulevard,Sacramento,95815,Michael Blackstone,,,,,,,,,,,,,,,
Baroness' Championship,Barony of Eskalya,6/28/1986,21,Russian Jack Girl Scout Camp,DeBarr and Boniface,Anchorage,99521,Llywellan ab Taliesan,,,,,,,,,,,,,,,
Westermark Picnic,Barony of the Westermark,6/28/1986,21,Flood Park,215 Bay Road,Menlo Park,94025,Shay Forestborn,,,,,,,,,,,,,,,
Mad River War,Barony of Allyshia,7/5/1986,21,Cold Springs on Horse Mountain,Cold Springs Rd.,Berry Summit,95525,Obadiah,,,,,,,,,,,,,,,
Lord Defender of the Far West Tournament,Palantine Barony of the Far West,7/5/1986,21,Torii Beach Camp,,Okinawa,,,,,,,,,,,,,,,,,
Warlords Tournament,Province of Southern Shores,7/12/1986,21,John D. Morgan Park,349 Budd Ave,Campbell,95008,Deirdre,,,,,,,,,,,,,,,
Investiture,Principality of Cynagua,7/12/1986,21,Riverfront Park,1010 Biz Johnson Drive,Marysville,95901,Julienne de Vigne,,,,,,,,,,,,,,,
Collegium,Canton of Montange du Roi,7/12/1986,21,Hartnell College,411 Central Avenue,Salinas,93901,Brendan Mayhawke,,,,,,,,,,,,,,,
Protectorate Tourney,Canton of Borderwinds,7/12/1986,21,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,,,,,,,,,,,,,,,,
Coronet,Principality of Oertha,7/18/1986,21,Little Susitna River Campground,Mi. 57.5 Parks Hwy,Houston,99694,Piasa Dragonsaver,,,,,,,,,,,,,,,
Midsummer Feast,Barony of Fettburg,7/19/1986,21,Kennedy Community Center,2800 South D Street,Stockton,95206,Sine as Monadh,,,,,,,,,,,,,,,
Ducal Prize,Kingdom of the West,7/26/1986,21,Two Rocks Coast Guard Station,599 Tomales Road,Petaluma,94952,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"We are not allowed to host events on this site anymore, it is in their permanent records.",we lost this site due to stupidity
Mists Games,Principality of the Mists,8/2/1986,21,Tilden Regional Park - Airplane Field,2501 Grizzly Peak Blvd,Berkeley,94708,Maythen of Elfhaven,,,,,,,,,,,,,,,
East Meets West,Shire of Earngyld,8/2/1986,21,,,,,Wynflaed of Hawksmir,,,,,,,,,,,,,,,
Southern Shores vs. Esfenn,Province of the Mists,8/9/1986,21,Camp Linblad Boy Scout Camp,17660 Kings Creek Rd.,Boulder Creek,95006,Seelie,,,,,,,,,,,,,,,
Wedding Tourney,Shire of Caldarium,8/9/1986,21,Golden Gate National Recreation Center,Bunker Rd.,Sausalito,94123,,,,,,,,,,,,,,,,
Picnic,Shire of Ravenshore,8/10/1986,21,Library Park,225 Park St,Lakeport,95453,Aldric Haldane of Griswold,,,,,,,,,,,,,,,
Purgatorio,Kingdom of the West,8/22/1986,21,Leonardo Dairy,1544 Rose Avenue,Ferndale,95536,Kallessa Pathera,,,,,,,,,,,,,,,
Have a Ball,Province of the Mists,8/30/1986,21,U.C. Berkeley - Haas Clubhouse,2220 Piedmont Ave,Berkeley,94704,Morgilliam of Greenbough,,,,,,,,,,,,,,,
War for the Bird,Principality of the Mists,9/5/1986,21,Two Rocks Coast Guard Station,599 Tomales Road,Petaluma,94952,Howard of Redstone,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"We are not allowed to host events on this site anymore, it is in their permanent records.",we lost this site due to stupidity
Prize Tournament,Barony of Eskalya,9/6/1986,21,Russian Jack Girl Scout Camp,DeBarr and Boniface,Anchorage,99521,Grphianus Silversun,,,,,,,,,,,,,,,
Mists Bardic,Principality of the Mists,9/13/1986,21,Finnish Brotherhood Hall,1970 Chestnut Street,Berkeley,94702,Norman Bradley,,,,,,,,,,,,,,,
Championship Tourney,Shire of Windy Meads,9/13/1986,21,U.C. Davis - Putah Creek Lodge,Putah Creek Lodge Road,Davis,95616,Roxana of Shirag,,,,,,,,,,,,,,,
Scriptorium,Kingdom of the West,9/13/1986,21,Soutgate Community Center,26780 Chiplay Street,Hayward,94545,,,,,,,,,,,,,,,,
Baroness' Championship,Barony of Tarnmist,9/20/1986,21,Atascadero Lake Park,9305 Pismo Ave,Atascadero,93422,Cecilia of Lindley,,,,,,,,,,,,,,,
Scriptorium,Barony of the Westermark,9/20/1986,21,Southgate Community Center,26780 Chiplay Street,Hayward,94545,Siranna of Hawthorne Hall,,,,,,,,,,,,,,,
Kitty Litter War,Shire of Ravenshore,9/20/1986,21,Mill Creek County Park,Mill Creek Rd.,Talmage,95481,,,,,,,,,,,,,,,,
Championship Tourney,Province of Silver Desert,9/24/1986,21,Deer Park,1700 Prater Way,Sparks,89431,Ambrose of Barduin,,,,,,,,,,,,,,,
Coronet,Principality of the Mists,9/27/1986,21,Stern Grove,19th Ave. and Sloat,San Francisco,94132,Elayna Amavia,,,,,,,,,,,,,,,
Crown,Kingdom of the West,10/4/1986,21,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Kathe Willig von Mainz,,,,X,,,,,,,,,,,
Baroness' Birthday,Barony of Eskalya,10/4/1986,21,Togowoods Girl Scout Camp,Kink Rd.,Wassila,99654,Aryana Silknfyre,,,,,,,,,,,,,,,
Grand Collegium,Kingdom of the West,10/11/1986,21,Fairfield High School,205 E Atlantic Ave,Fairfield,94533,Hagar the Black,,,,,,,,,,,,,,,
Fool's Tourney,Barony of Allyshia,10/17/1986,21,Firemans Park,100 Berding Street,Ferndale,95536,Wulfric,,,,,,,,,,,,,,,
First Sword Tournament,Barony of the Westermark,10/18/1986,21,Weekes Community Center,27182 Patrick Ave,Hayward,94544,Owen Bryghtstar,,,,,,,,,,,,,,,
Valhallan Day on the Green,Principality of Cynagua,10/25/1986,21,Riverfront Park,1010 Biz Johnson Drive,Marysville,95901,Valgard Stonecleaver,,,,,,,,,,,,,,,
All Hallow's Feast,Barony of Vinhold,10/25/1986,21,Vintage Hall,1401 Grayson Avenue,St. Helena,94574,Geoffrey of Griffenhold,,,,,,,,,,,,,,,
Coronet,Principality of Cynagua,11/1/1986,21,Turlock Lake State Park,Buchanan Road,La Grange,95329,Lorenzo de Nebbia Argenta,,,,,,,,,,,,,,,
All Saints Revel,Barony of Eskalya,11/8/1986,21,Elmandorf Air Force Base - 6981st Chalet,Elmendorf AFB,Anchorage,99521,Morgan,,,,,,,,,,,,,,,
Investiture,Principality of the Mists,11/8/1986,21,Benecia Clock Tower,1189 Washington St,Benecia,94510,Gregory Falconheart,,,,,,,,,,,,,,,
Revel,Shire of Mont d'Or,11/8/1986,21,Seaman's Lodge - Pioneer Park,421 Nimrod St,Nevada City,95959,Alyanaora of Vinca,,,,,,,,,,,,,,,
Congeniality Tourney,Principality of the Mists,11/15/1986,21,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,Morgilliam of Greenbough,,,,,,,,,,,,,,,
Challening Revel,Barony of the Westermark,11/15/1986,21,Castro Valley Community Center,18988 Lack Chabot Road,Castro Valley,94546,Rhianan Lighthawk,,,,,,,,,,,,,,,
Anniversary Tourney,Shire of Vakkerfjell,11/15/1986,21,Kynoch School,19th and Ahern Street,Marysville,95901,Ragnald de Vigne,,,,,,,,,,,,,,,
Feast,College of Saint Katherine's,11/15/1986,21,Pilgrim Congregational Church Fellowship Hall,5736 Walnut St.,Oakland,94605,Chrysogen Frideswide,,,,,,,,,,,,,,,
Queen's Guard Revel,Kingdom of the West,11/15/1986,21,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Steven Shireborn,,,,,,,,,,,,,,,
Anniversary Banquet,Province of Golden Rivers,11/22/1986,21,Fair Oaks Community Center,7997 California Ave.,Fair Oaks,95628,Lachlin Nic Colin,,,,,,,,,,,,,,,
Yule,Barony of Eskalya,12/6/1986,21,Elmendorf AFB - Returnagain Lodge,Elmendorf AFB,Anchorage,99521,Fyodor the Friendly,,,,,,,,,,,,,,,
Yule Revel,Barony of the Westermark,12/13/1986,21,San Felipe Community Center,2058 D. Street,Hayward,94541,Tristan,,,,,,,,,,,,,,,
Hawkfest,Canton of Hawk's Haven,12/21/1986,21,Gilroy Senior Center,7371 Hanna Street,Gilroy,95020,Michael of Worcester,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/4/1987,21,Gold Country Fairground,1273 High street,Auburn,95603,Maelgwyn de Lyonesse,,,,,,,,,,,,,,,
Investiture,Principality of Cynagua,1/24/1987,21,Senior Citizen Community Center,,Carmichael ,95608,,,,,,,,,,,,,,,,
Imbolc Barbeque,Shire of Crosston,2/1/1987,21,Mitchell Park Community Center,3800 Middlefield Road,Palo Alto,94303,Krystyana of Dragon Run,,,,,,,,,,,,,,,
Grand Masque,Shire of Wolfscairn,2/7/1987,21,Sebastapol Memorial Veterans Hall,282 High Street,Sebastopol,95472,Ceinwen of Wolfhaven,,,,,,,,,,,,,,,
Court of Love,Canton of Borderwinds,2/28/1987,21,Minami Center,600 W. Enos,Santa Maria,93458,Susan of Winterwood,,,,,,,,,,,,,,,
White Shield ,Barony of Darkwood,3/7/1987,21,,,,,Sebastian von Baden,,,,,,,,,,,,,,,
St. Katherine/ Teufelburg Revel,College of Saint Katherine's,3/14/1987,21,U.C. Berkeley - Haas Clubhouse,2220 Piedmont Ave,Berkeley,94704,Edward Oakenheart,,,,,,,,,,,,,,,
Defend the Pass,Kingdom of the West,3/14/1987,21,Veteran's Park,1051 Wetmore Rd,Livermore,94550,Angharad O Duibhdabhoireann,,,,,,,,,,,,,,,
It's Not Quite Spring Banquet,Shire of Vakkerfjell,3/14/1987,21,Sutter Youth Center,7740 Butte House Road,Sutter,95982,Tamara of Drakeswood,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/20/1987,21,Nevada County Fairgrounds,11228 McCourtney Road,Grass Valley,95949,Eleanor du Mont Saint Michel,,,,,,,,,,,,,,,
Coronet,Principality of the Mists,3/28/1987,21,John F. Kennedy Memorial Park,2295 Streblow Dr.,Napa,94558,Gregory Falconheart,,,,,,,,,,,,,,,
Fool's Tourney,Barony of Eskalya,4/3/1987,21,Elmandorf Air Force Base - 6981st Chalet,Elmendorf AFB,Anchorage,99521,,,,,,,,,,,,,,,,
Dance Workshop,Shire of Canale,4/4/1987,21,Ceres High School,2320 Central Avenue,Ceres,95307,Lorenzo de Nebbia Argentea,,,,,,,,,,,,,,,
Unicorn Festival,Shire of Earngyld,4/4/1987,21,McPhetres Hall,Fourth And Gold,Juneau,99801,Lorana,,,,,,,,,,,,,,,
April Fools Tourney,Canton of Borderwinds,4/4/1987,21,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,,,,,,,,,,,,,,,,
Newcomers Tourney,Province of Southern Shores,4/11/1987,21,Saratoga Fire Hall,,Saratoga,,Harold von dem Schwarzwald,,,,,,,,,,,,,,,
Ravenshore vs. Allyshia,Barony of Allyshia,4/18/1987,21,Cold Springs on Horse Mountain,Cold Springs Rd.,Berry Summit,95525,Obadiah,,,,,,,,,,,,,,,
Anniversary Tourney,Barony of the Westermark,4/18/1987,21,,,,,Lauren Gray,,,,,,,,,,,,,,,
Mists/Cynagua War,Principality of Cynagua,4/24/1987,21,Folsom Lake State Recreation Area,,Loomis,95650,Morgan ap Siarl,,,,,,,,,,,,,,,
Oerthan Collegium,Principality of Oertha,4/25/1987,21,Elmandorf Air Force Base - 6981st Chalet,Elmendorf AFB,Anchorage,99521,Tamariti Songspinner,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,5/2/1987,22,Kelly's Camp,8220 Scotts Valley Road,Upper Lake,95485,Edwinna of Hawk's Bluff,,,,,,,,,,,,,,,
Revel,Barony of Eskalya,5/9/1987,22,Elmandorf Air Force Base - 6981st Chalet,Elmendorf AFB,Anchorage,99521,Vanora Gyldanaert,,,,,,,,,,,,,,,
Investiture,Principality of the Mists,5/9/1987,22,Cotati Veteran's Memorial Building,8505 Park Ave,Cotati,94931,,,,,,,,,,,,,,,,
Earngyld Beltane,Shire of Earngyld,5/9/1987,22,McPhetres Hall,Fourth And Gold,Juneau,99801,Alysaundra,,,,,,,,,,,,,,,
Championship Tourney,Province of Golden Rivers,5/16/1987,22,Mission-North Park,Mission Ave.,Carmichael,95608,Miranda Tre-Aria,,,,,,,,,,,,,,,
Spring Offensive,Barony of Selveirgard,5/16/1987,22,Finger Lake Wayside,,Palmer,,Aislynn of Dragonslair,,,,,,,,,,,,,,,
Coronet,Principality of Cynagua,5/23/1987,22,Feather River College,570 Golden Eagle Avenue,Quincy,95971,Hanns Helvig von Longstrum,,,,,,,,,,,,,,,
Guardain Tourney,Barony of Eskalya,5/30/1987,22,Winday Trails Day Camp,,Anchorage,,Avaloc the Young,,,,,,,,,,,,,,,
Southern Shores vs. Esfenn,Province of Southern Shores,5/30/1987,22,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Drew Fortesque,,,,,,,,,,,,,,,
Baron's Champoinship,Barony of Vinhold,6/6/1987,22,Vintage Hall,1401 Grayson Avenue,St. Helena,94574,Michael the Farlander,,,,,,,,,,,,,,,
De Anza Prize Tourney,Province of Southern Shores,6/7/1987,22,De Anza College,21250 Stevens Creek Blvd,Cupertino,95014,Gunther von Drachenscholss,,,,,,,,,,,,,,,
Archery Tourney,Shire of Cloondara,6/13/1987,22,Golden Gate Park - Archery Field,998 47th Ave,San Francisco,94121,,,,,,,,,,,,,,,,
June Crown,Kingdom of the West,6/20/1987,22,Grant Ranch Park,18405 Mount Hamilton Road,San Jose,95140,Heather MacTeague,,,,,,,,,,,,,,,
Montfort Games,Barony of Winter's Gate,6/21/1987,22,,,Fairbanks,,Morgana n'ha Keridwen,,,,,,,,,,,,,,,
Summer Solstice,Shire of Earngyld,6/27/1987,22,Southeast Alaska United Methodist Camp,27500 Glacier Highway,Juneau,99801,Iseault Wishbringer,,,,,,,,,,,,,,,
Generic War,Province of the Mists,7/11/1987,22,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Robert of Woodsende,,,,,,,,,,,,,,,
Summer Investiture,Principality of Cynagua,7/11/1987,22,Skylandia Park,30 Manzanita Ave,Lake Tahoe,96145,Freydis Tollefsdottir,,,,,,,,,,,,,,,
Borderwinds Protectorate Tourney,Canton of Borderwinds,7/12/1987,22,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Daniel DeHales,,,,,,,,,,,,,,,
Coronet & Investiture,Principality of Oertha,7/25/1987,22,Eagle Beach State Recreation Area,26 Glacier Highway,Juneau,99801,Adam Elfchaser,,,,,,,,,,,,,,,
Darkwood Collegium,Barony of Darkwood,7/25/1987,22,,,,,Lawrence of Redforest,,,,,,,,,,,,,,,
Esfenn First Sword Tourney,Barony of the Westermark,7/29/1987,22,Weekes Community Center,27182 Patrick Ave,Hayward,94544,Gerstan Heah Leah,,,,,,,,,,,,,,,
Principality Games,Principality of the Mists,8/1/1987,22,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,Siobhan of Cloverdell,,,,,,,,,,,,,,,
Rogue's Revel,Barony of Tarnmist,8/1/1987,22,Port San Luis Beach,,Port San Luis Beach,,Christiana of Heathers Glen,,,,,,,,,,,,,,,
Ducal Prize,Kingdom of the West,8/8/1987,22,Two Rocks Coast Guard Station,599 Tomales Road,Petaluma,94952,Sabrina de la Bere,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"We are not allowed to host events on this site anymore, it is in their permanent records.",we lost this site due to stupidity
Purgatorio,Kingdom of the West,8/22/1987,22,Feather River College,570 Golden Eagle Avenue,Quincy,95971,Corwyn of Sablewood,,,,,,,,,,,,,,,
Championship Tourney,Barony of Fettburg,8/29/1987,22,Burbank Paradise Hall,1313 Beverly Drive,Modesto,95351,Cuby of Elmhurst,,,,,,,,,,,,,,,
Baronial Lists,Palantine Barony of the Far West,9/5/1987,22,Pagoda Picnic Area - South Post,,"Yongsan, Korea",,Sir Trude,,,,,,,,,,,,,,,
Bardic Competition,Principality of the Mists,9/12/1987,22,Veterans Memorial Hall,522 South L Street,Livermore,94550,Helene du Pres de Bretagne,,,,,,,,,,,,,,,
Vinhold/Ravenshore War,,9/12/1987,22,Low Gap County Park,Low Gap Road,Ukiah,95482,Edwinna of Hawk's Bluff,,,,,,,,,,,,,,,
Captain's Tournament,Barony of Tarnmist,9/19/1987,22,Lake Atascadero,9305 Pismo Ave,Atascadero,93422,Cecilia of Lindley,,,,,,,,,,,,,,,
St. Katherine's vs. Mont D'or War,Shire of Mont d'Or,9/19/1987,22,Greenhorn Campground- Rollins Lake,15000 Greenhorn Access Road,Grass Valley,95945,Alyanora of Vinca,,,,,,,,,,,,,,,
Arts and Sciences Competition,Barony of Darkwood,9/19/1987,22,Camp Stuart Boy Scout Camp,,Saratoga,,Sebastian von Baden,,,,,,,,,,,,,,,
Coronet Tourney,Principality of the Mists,9/26/1987,22,Homstead Valley- Briones Regional Park,,Orinda,,Elayna Amavia,,,,,,,,,,,,,,,
Baroness' Birthday/Rogues Revel,Barony of Eskalya,10/3/1987,22,Elmandorf Air Force Base - 6981st Chalet,Elmendorf AFB,Anchorage,99521,Laurana Dolfine,,,,,,,,,,,,,,,
Collegium Occidentalis,Kingdom of the West,10/10/1987,22,Chabot College,25555 Hesperian Boulevard,Hayward,94545,Ceridwen MacAoudhegain,,,,,,,,,,,,,,,
Star Wars (Vinhold vs. Westermark),Barony of Vinhold,10/17/1987,22,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Anthony the Sinister,,,,,,,,,,,,,,,
Harvest Festival,Province of Southern Shores,10/17/1987,22,,,,,Siobhan of Cloverdell,,,,,,,,,,,,,,,
All Hallows Eve,Barony of Vinhold,10/24/1987,22,Vintage Hall,1401 Grayson Avenue,St. Helena,94574,Scott of Kent,,,,,,,,,,,,,,,
Samhein Festival,Barony of Eskalya,10/31/1987,22,Viking Hall,8141 Briarwood Street,Anchorage,99518,,,,,,,,,,,,,,,,
Coronet,Principality of Cynagua,10/31/1987,22,Turlock Lake State Park,Buchanan Road,La Grange,95329,Lorenzo de Nebbia Argentea,,,,,,,,,,,,,,,
Anniversary Tourney,Shire of Solais Mor,11/7/1987,22,Gardella Green,,Livermore,,Gunval of Skogen,,,,,,,,,,,,,,,
St. Katherine's Day Feast,College of Saint Katherine's,11/7/1987,22,Pilgrim Congregational Church Fellowship Hall,5736 Walnut St.,Oakland,94605,Carmen Souza,,,,,,,,,,,,,,,
Anniversary Revel,Shire of Vakkerfjell,11/14/1987,22,Kynock School,19th and Ahern Street,Marysville,95901,Ragnald,,,,,,,,,,,,,,,
Anniversary Feast,Province of Golden Rivers,11/28/1987,22,Sons of Norway Hall,5944 San Juan Avenue,Citrus Heights,95610,Jilara of Carrowlea,,,,,,,,,,,,,,,
Yule Revel,Barony of Eskalya,12/5/1987,22,Elmendorf AFB - Otter Lake Lodge,Elmendorf AFB,Anchorage,99521,Guenevere of Ravenscroft,,,,,,,,,,,,,,,
Jingles,Province of Southern Shores,12/5/1987,22,Orchard City Grange Hall,109 North 1st St.,Campbell,95008,Iomhar MacThaimhis,,,,,,,,,,,,,,,
Saint Nicholas Feast and Boar Hunt,Province of the Mists,12/12/1987,22,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Mathen of Elfhven,,,,,,,,,,,,,,,
Yuletide Revel,Barony of Fettburg,12/12/1987,22,Burbank Paradise Hall,1313 Beverly Drive,Modesto,95351,K'Alan Taurwen,,,,,,,,,,,,,,,
Esfenn Yule Revel,Barony of the Westermark,12/19/1987,22,Weekes Community Center,27182 Patrick Ave,Hayward,94544,Llerret de Granada,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/2/1988,22,Hayward Centennial Hall,22292 Foothill Blvd.,Hayward,94541,Alison von Markheim,,,,,,,,,,,,,,,
Far West Twelfth Night,Palantine Barony of the Far West,1/9/1988,22,Rod and Gun Club- Misawa Air Base,,Japan,,Yolanda the Wanderer,,,,,,,,,,,,,,,
Winter Investiture,Principality of Cynagua,1/30/1988,22,Polish American Hall,327 Main St.,Roseville,95678,Daulf Oswin,,,,,,,,,,,,,,,
Imbolc Barbecue,Barony of the Westermark,1/31/1988,22,Mitchell Park Community Center,3800 Middlefield Road,Palo Alto,94303,Rhwth Rhys of Eldatir,,,,,,,,,,,,,,,
Tournament of Courtly Love,Canton of the Blue Mists,2/5/1988,22,Kadena High School Library,Kadena Air Base,Okinawa,,,,,,,,,,,,,,,,,
Court of Love,Canton of Borderwinds,2/6/1988,22,Minami Center,600 W. Enos,Santa Maria,93458,Susan of Winterwood,,,,,,,,,,,,,,,
Valentines Revel,Province of Golden Rivers,2/12/1988,22,Elks Lodge,424 3rd Stree,West Sacramento,95605,Ann Marie,,,,,,,,,,,,,,,
Lupercalia,Barony of Allyshia,2/13/1988,22,Coopers Gulch Recreation Center,1720 10th Street,Eureka,95501,Elriin,,,,,,,,,,,,,,,
Winter Palatine Tourney,Palantine Barony of the Far West,2/13/1988,22,Misawa Air Base,,Misawa,,Vladimir Vladimirovich,,,,,,,,,,,,,,,
Medieval Revel,Barony of Rivenoak,2/20/1988,22,PV Rec Center,,Chico,,Mariana of Northumbria,,,,,,,,,,,,,,,
Dance Workshop/ Potluck,Shire of Vakkerfjell,2/20/1988,22,Kynoch School,19th and Ahern Street,Marysville,95901,Ragnald,,,,,,,,,,,,,,,
White Shield Tournament,Barony of Darkwood,2/27/1988,22,Felton Community Hall,6191 Highway 9,Felton,95018,Robert MacClintock,,,,,,,,,,,,,,,
Anniversary Tourney and Revel,Barony of the Westermark,2/27/1988,22,Beresford Recreation Center,2720 Alameda De Las Pulgas,San Mateo,94403,Krysta of Starfall,,,,,,,,,,,,,,,
Olde Worlde Mini-Revel,Shire of Earngyld,3/5/1988,22,Gray Manor,5874 Pine Street,Juneau,99801,Katherine of the Black Eagles,,,,,,,,,,,,,,,
Turnabout Tourney,Barony of Allyshia,3/5/1988,22,,,,,Morgan Starbridge,,,,,,,,,,,,,,,
Darkwood/Tarnmist War,Barony of Darkwood,3/12/1988,22,San Lorenzo Regional Park,1160 Broadway St,King City,93930,David MacColin,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/19/1988,22,Turlock Lake State Park,Buchanan Road,La Grange,95329,Maelgwyn ed Lyonesse,,,,,,,,,,,,,,,
Spring Coronet,Principality of the Mists,3/26/1988,22,Skyline Wilderness Park,2201 Imola Avenue,Napa,94559,Elayna Amavia,,,,,,,,,,,,,,,
TGIF Revel,Barony of the Westermark,4/1/1988,22,LOV Center,5445 Central Ave.,Newark,94560,Linda of Collinswood,,,,,,,,,,,,,,,
Revel,College of Saint Katherine's,4/8/1988,22,Haas Clubhouse - U.C. Berkeley,2220 Piedmont Ave,Berkeley,94704,Edward Oakenheart,,,,,,,,,,,,,,,
Warlord Tourney,College of Saint Katherine's,4/8/1988,22,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,Wiflaf Wilfridson,,,,,,,,,,,,,,,
All Fools Revel,Barony of Eskalya,4/9/1988,22,6981st Chalet on Elmendorf AFB,,Elmendorf AFB,,Rolynnda of the Azurestone,,,,,,,,,,,,,,,
Unicorn Festival,Shire of Earngyld,4/9/1988,22,McPhetres Hall,Fourth And Gold,Juneau,99801,Patrice,,,,,,,,,,,,,,,
Newcomers Tourney,Province of Southern Shores,4/9/1988,22,Santa Teresa Park,260 Bernal Road,San Jose,95119,Cillene Mac Rorie,,,,,,,,,,,,,,,
Fools Tourney,Canton of Borderwinds,4/9/1988,22,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Ruben Ben Yosef,,,,,,,,,,,,,,,
Fool's Revel,Barony of Winter's Gate,4/10/1988,22,,,Fairbanks,,Swein the Well-Scarred,,,,,,,,,,,,,,,
